ESPE,MYRU,ESPA
45.6,28.9,27.8
23.2,22.2,41.2
27.2,39.1,37
25.6,24.9,24.8
81,76.5,67.2
69.4,56.4,76.1
59.4,54.2,57.6
36,37,40.6
10.4,16.3,16.7
22.4,26.8,28.1
4,5.4,6.6
11.8,16.7,18.6
3.8,3,5
18.6,13.7,14
99,83.6,89
58.6,70.6,18
193.4,173.8,141.4
40.6,46.8,38.4
80.6,91.5,79.8
100.8,85.1,83.6
46.4,78.5,56.6
27.4,20.8,34.4
12,17.4,14
48.4,55.9,40.2
23.4,24.6,26.8
30.4,34.2,30.2
83.8,103.7,96.4
47.4,73.5,44
52.6,54.2,45.2
73.4,52.4,58
27,42.3,38.6
40.4,47.4,41.6
6.4,6.3,6.8
27.6,22.4,15
11.4,12.5,15.4
196.4,234,240
0.2,0.9,0.2
8.4,15.8,19.6
125.4,138.3,124.4
49.2,46.3,48.2
41.8,42,44.8
84,62.5,49.6
86.4,84.9,71.4
86.6,55.5,41.8
84.2,97.6,94.4
1.8,5.5,6.6
45.4,51.4,47.4
5.2,13.2,16.8
6.2,4.3,4
2.6,4.8,3.2
44.6,73.7,31.6
53,51.8,52.2
29.6,30.2,21
135.4,116.8,128.8
65.4,62.1,44.6
101.8,111.5,98.8
76.8,87.5,65.8
23.2,24.2,43.6
101.6,172.4,171.6
8.4,12.8,15
11.6,20.9,29.6
50.2,33,34.8
45.8,32.9,32.8
108.8,89,90.2
90.2,76.2,60.6
40.2,41.4,40.4
84.8,75.8,75.6
18.2,13,7.8
22.2,45.5,25.4
4.2,5,5.8
4.8,11.3,14.8
23.8,20.5,38.2
20.6,33.4,37.4
20.8,30.7,27.6
86.4,92.1,115.2
69,76.6,53.4
94,69.5,68
83.2,76.8,62.6
26,33.6,40.2
24,30.5,36.6
24,27.5,25.6
18.2,13.8,13
35,24.8,35.2
26.2,34.7,34.8
34.2,28,33.6
35,23.4,33.4
47.8,69.5,62.6
39.8,32.1,28
110.8,97.1,70.4
79.2,65.4,45.8
72.4,83.1,50.4
46.6,58.6,85.8
67.4,63.2,56
62.2,70.8,66
29.6,51.8,48.6
14.8,21.7,15.4
48.4,49,48
27.4,16.1,18.2
52.6,31,38
87,102.7,93
69,72,67
107.8,79.6,66
67.6,60.6,48
14,12,14.2
56.4,58.6,73.8
15,13.7,19.6
23.4,37,35.6
11.4,9.6,10.4
145,145.9,153.8
43.8,64.8,37
112.4,88.3,68.6
88.4,76.9,78.2
141.2,125.1,67.2
69.6,71.8,69.4
70.8,95.9,79
18.2,17.9,16.2
30.6,28.4,34.4
7.2,10.6,11.4
4.8,11.6,12.2
5.8,9.4,5.2
16.6,11.9,11
99,81.3,65.4
56,53.3,50
141.8,107,93.2
44.2,46.5,51
80.4,89.4,79.6
47.4,67.1,71.6
21.6,21.6,23
2,5.6,10.2
6.2,5.2,2.8
35,36.4,42.6
54.6,58,57.8
64.2,73.7,65.6
54,61.5,60.8
60,54.4,50.8
97,112.9,107.6
62.6,67.2,54.6
21.4,33.9,22
20,28,27.4
44.8,46.4,40
49.6,73.2,44.6
18,15,26
63.8,55.5,71.8
38.9,48.5,37
70.5,69.5,55.2
83.2,82,102
52.6,56,65.8
97.4,108.6,109.6
82.4,85.3,95.2
53.7,65,30.8
17.2,9.4,11.2
27.2,35.5,35.2
28.2,51.7,41.2
148.6,127.2,188.2
22.6,23.5,24
6.4,10.6,10.4
78.6,66.7,46.4
45.2,24.2,18.4
134.6,109.7,84.6
67.6,48.2,54.4
75.2,79.6,75.4
31.6,28.1,31
21,23.3,33.4
16,17.8,24
5.6,8.4,13.2
60.6,99.2,114.6
19,17.7,23.6
9.4,5,6.8
40,27.1,33.8
50,44.5,52.4
75.2,54.4,64.8
148.2,177.1,158
36.6,37.1,46.6
74.5,73.6,54.2
34.4,40.4,50.8
35,11.4,32.8
0.8,2.6,2.2
1,1.8,1.8
15.4,12.4,16.4
32.8,30.1,33.4
52.6,60.4,51.6
87.2,73.3,73.6
66.6,43.4,21.2
99.6,105.5,92.8
25,30.5,37.8
37.4,42.4,41.2
29.4,29.9,17.6
4,18.8,34.6
23.6,18,23.8
24.4,21.9,26.4
31.2,38.4,39.8
52.2,48.1,34.8
92.2,82.7,66.8
164.2,123.5,110.6
33.8,38.8,47
34.4,14.4,25.4
95.8,72.7,74
7.4,7.2,11.2
8,4.7,7.8
18.8,33.9,20.4
13.4,53.2,23.2
50.8,32.1,40.4
105.4,88.4,100.4
89.8,94.1,92.8
101.8,81.4,76.6
76,74.7,59.6
67.6,51.6,48.6
93.8,89.7,91.4
20,23.5,30.8
1,2.4,0.8
2.6,12.7,7
12.4,8.7,17.4
20.4,17.8,20
59.4,83.5,70.2
74.2,55.1,39.6
79.6,62.3,64
112.2,86.7,81
138.8,135.1,111
57.2,34.4,43.6
110,116,112
73,78.2,78.4
13.6,14.7,15.6
12,8.9,14